sku,category,brand,warehouse_zone,supplier,supplier_contact,last_sale_date,last_audit_date,restock_date,stock_on_hand,units_sold_30d,sell_through_rate,unit_cost_inr,mrp_inr,reorder_point,lead_time_days,is_active
APP-32061,Apparel,AlphaEdge,Zone A,GlobalTrade Ltd,contact609@globaltradeltd.com,2024-09-09,2025-04-29,2026-06-24,457.0,296,0.5560418052989069,7350.0,19953.332832417385,52.0,11,False
STA-36785,Stationery,AlphaEdge,Zone B,FastShip Pvt,,2024-04-09,2026-01-23,2026-08-11,395.0,219,0.6370629648743945,6504.0,22409.579308692544,118.0,express,False
ELE-45517,Electronics,ZenCraft,zone c,DirectImport,contact420@directimport.com,2024-11-23,2025-07-26,2026-08-31,265.0,259,0.8418014265809836,6510.0,8369.899330413979,38.0,14,True
TOY-79267,Toys,ZenCraft,zone b,FastShip Pvt,contact271@fastshippvt.com,2024-09-25,2026-02-07,2026-07-28,201.0,21,0.29995885172416414,172.0,266.2406737809133,113.0,30,True
APP-19930,Apparel,ZenCraft,Zone C,GlobalTrade Ltd,contact738@globaltradeltd.com,2024-07-18,2025-06-28,2026-09-01,208.0,280,0.40690432357269934,6891.0,13211.79171597232,106.0,18,True
SPO-60431,Sports & Outdoors,AlphaEdge,Zone A,DirectImport,contact862@directimport.com,2024-10-28,2025-10-07,2026-06-13,417.0,225,0.1413727534590863,1827197.0,4721735.478975539,113.0,40,True
APP-46991,Apparel,ZenCraft,ZONE B,QuickStock,contact348@quickstock.com,2024-08-01,2025-11-06,2026-08-03,471.0,147,0.22739230256465892,6896.0,16702.776986234152,143.0,8,False
HOM-42017,Home & Kitchen,CorePeak,ZONE A,PrimeParts,contact642@primeparts.com,2024-11-14,2025-04-12,2026-07-30,38.0,156,0.5761602541754883,2663.0,4850.003374597153,159.0,13,True
TOY-79540,Toys,AlphaEdge,Zone B,DirectImport,contact302@directimport.com,2024-08-15,,2026-08-22,366.0,133,0.9310581329297146,4158.0,6522.849858729897,31.0,3,True
APP-75430,Apparel,UrbanWave,Zone A,PrimeParts,contact497@primeparts.com,2024-06-06,2025-04-03,2026-08-24,474.0,60,0.31317430827049264,7377.0,5553.652883057491,0.8296200599636185,18,True
ELE-61480,Electronics,AlphaEdge,Zone C,PrimeParts,contact404@primeparts.com,2024-04-28,2025-09-26,2026-08-18,189.0,25,0.8063859858027677,1880.0,3209.069728181164,89.0,30,True
APP-14342,Apparel,GenericPlus,zone b,QuickStock,contact890@quickstock.com,2024-05-15,2025-05-18,2026-07-04,405.0,35,0.03621529199603668,7770.0,17111.63722683947,25.0,31,True
APP-91247,Apparel,UrbanWave,Zone C,LocalSource,,2024-09-27,2025-04-18,2026-05-30,88.0,248,0.9257249873701823,1104.0,1462.8761107151477,93.0,27,True
STA-28254,Stationery,NovaLine,Zone B,SupplyCo India,,2024-04-05,2025-04-26,2026-07-29,214.0,11,0.43024099378354663,1773.0,3595.676319767853,76.0,25,True
APP-84012,Apparel,UrbanWave,Zone C,FastShip Pvt,contact142@fastshippvt.com,2024-05-05,2025-12-12,2026-08-28,389.0,2,0.4462518690053202,603.0,521.6351241589753,40.0,40,True
TOY-26123,Toys,NovaLine,Zone D,GlobalTrade Ltd,,2024-11-13,2026-03-14,2026-07-26,88.0,52,0.7446052556380546,1359.0,4263.040932062628,146.0,28,True
HOM-77377,Home & Kitchen,NovaLine,Zone A,DirectImport,contact440@directimport.com,2024-08-25,,2026-08-23,380.0,122,0.553306193167724,1975.0,5365.562044181552,110.0,25,True
HOM-87460,Home & Kitchen,CorePeak,Zone B,DirectImport,contact262@directimport.com,2024-06-07,2025-10-23,2026-06-23,453.0,245,0.08319929810506954,7591.0,25103.249625556324,13.0,43,True
APP-47157,Apparel,NovaLine,zone b,FastShip Pvt,,2024-11-04,2025-05-05,2026-08-04,357.0,245,0.61294895400732,7365.0,11394.59263366898,,14,True
ELE-54460,Electronics,CorePeak,Zone A,FastShip Pvt,contact254@fastshippvt.com,2024-11-14,,2026-09-14,415.0,49,0.5297172754834039,6350.0,10695.464446781629,78.0,8,True
HOM-95553,Home & Kitchen,SwiftBrand,Zone C,PrimeParts,contact159@primeparts.com,2024-07-29,2025-11-09,2026-09-01,167.0,1,0.4748288823799036,7140.0,16878.495425862504,0.1757933914664762,42,True
APP-30964,Apparel,ZenCraft,Zone C,FastShip Pvt,contact894@fastshippvt.com,2024-08-22,2025-11-16,2026-07-28,144.0,255,,1972.0,4608.91286487172,12.0,24,True
TOY-85764,Toys,NovaLine,ZONE D,FastShip Pvt,contact433@fastshippvt.com,2024-09-01,2026-02-04,2026-06-20,449.0,64,0.5133651953770951,4350.0,10599.284798516997,173.0,27,True
APP-42072,Apparel,SwiftBrand,Zone A,GlobalTrade Ltd,contact434@globaltradeltd.com,2024-06-11,2025-04-04,2026-09-18,484.0,259,0.39319810633469177,1847.0,3393.5631163478415,160.0,29,True
HOM-67855,Home & Kitchen,NovaLine,Zone B,PrimeParts,contact368@primeparts.com,2024-09-26,2025-10-03,2026-08-15,327.0,115,0.6394190846012385,3064.0,1777.2640461942221,34.0,10,False
APP-16189,Apparel,AlphaEdge,Zone C,PrimeParts,,2024-04-19,,2026-08-08,71.0,57,0.2980647986635666,4769.0,12334.694813165193,,766,True
AUT-87228,Automotive,AlphaEdge,Zone A,FastShip Pvt,contact555@fastshippvt.com,2024-05-08,2026-01-25,2026-09-11,132.0,106,0.11141420136326263,3528.0,7535.086200367187,141.0,26,True
STA-67505,Stationery,NovaLine,Zone D,DirectImport,contact964@directimport.com,2024-10-12,2025-09-24,2026-08-28,265.0,191,0.3019820479148805,1650418.0,2376082.2669527526,105.0,8,True
HOM-99847,Home & Kitchen,NovaLine,ZONE B,FastShip Pvt,contact494@fastshippvt.com,2024-04-24,2025-08-28,2026-08-15,80.0,209,0.12560994015131954,7579.0,11545.091413925305,48.0,4,False
APP-93665,Apparel,TrueForm,ZONE C,QuickStock,,2024-11-18,2026-01-31,2026-09-01,279.0,43,0.8794894342121292,3806.0,11432.70431094789,,19,True
BEA-70193,Beauty,ZenCraft,Zone B,PrimeParts,contact443@primeparts.com,2024-08-12,2025-11-08,2026-08-11,73.0,154,0.7119773745242436,2043.0,3928.882946731323,165.0,6,True
APP-66679,Apparel,CorePeak,Zone A,DirectImport,,2024-09-18,2026-01-06,2026-09-01,101.0,46,0.2654786976692102,1231.0,3558.0497609797317,,8,True
SPO-48942,Sports & Outdoors,UrbanWave,zone c,FastShip Pvt,contact827@fastshippvt.com,2024-10-30,2025-08-29,2026-07-30,292.0,252,0.318293579522533,1923.0,6094.14901415634,87.0,16,True
SPO-65662,Sports & Outdoors,GenericPlus,Zone D,SupplyCo India,contact393@supplycoindia.com,2024-06-24,2025-12-04,2026-06-20,-17.0,220,0.2234980503341475,7189.0,11776.19384612131,,22,True
ELE-90531,Electronics,CorePeak,Zone B,PrimeParts,contact114@primeparts.com,2024-11-21,2025-12-09,2026-08-27,114.0,160,0.19762365763781475,1149.0,2191.651132814646,174.0,38,True
APP-57259,Apparel,SwiftBrand,Zone D,QuickStock,contact580@quickstock.com,2024-09-06,2025-10-14,2026-05-25,119.0,188,0.5290025763146322,2214.0,3094.5349547295205,164.0,17,False
APP-76331,Apparel,TrueForm,Zone C,SupplyCo India,contact681@supplycoindia.com,2024-06-20,,2026-08-08,30.0,171,0.3857192898146945,6712.0,10400.632333865224,112.0,22,True
ELE-31964,Electronics,UrbanWave,ZONE A,QuickStock,contact770@quickstock.com,2024-07-09,2025-05-21,2026-08-07,204.0,150,0.962429204505786,7757.0,21023.682079895512,186.0,34,True
ELE-96407,Electronics,ZenCraft,Zone A,FastShip Pvt,,2024-09-13,2026-01-27,2026-07-22,276.0,56,0.9994135232983343,0.0,0.0,63.0,30,True
APP-52681,Apparel,ZenCraft,zone b,LocalSource,contact466@localsource.com,2024-09-15,2026-03-02,2026-06-25,385.0,285,0.3712873445821314,5188.0,10797.222419962925,114.0,44,True
BEA-92794,Beauty,SwiftBrand,Zone C,SupplyCo India,contact970@supplycoindia.com,2024-11-27,2025-08-09,2026-08-19,246.0,93,,5488.0,17809.353769009915,60.0,8,True
HOM-15484,Home & Kitchen,AlphaEdge,Zone C,QuickStock,contact268@quickstock.com,2024-05-11,2026-01-16,2026-07-19,133.0,188,0.6140680879598494,7390.0,24563.743771008434,189.0,16,True
BEA-44631,Beauty,AlphaEdge,ZONE B,QuickStock,contact408@quickstock.com,2024-06-18,,2026-06-25,325.0,22,0.86618183300473,649.0,1268.9341275984675,82.0,29,True
HOM-85028,Home & Kitchen,TrueForm,Zone D,GlobalTrade Ltd,,2024-08-02,2025-07-03,2026-07-14,197.0,218,0.03941669946570625,2470.0,5648.927288148544,27.0,36,True
HOM-55636,Home & Kitchen,SwiftBrand,Zone C,QuickStock,,2024-09-20,2026-01-30,2026-08-13,270.0,96,0.08820115126782735,1549.0,2546.071475751323,111.0,13,False
ELE-34886,Electronics,SwiftBrand,zone b,DirectImport,,2024-07-12,2025-10-31,2026-07-30,415.0,71,3.0325847161956596,104.0,127.54798051780098,179.0,32,True
ELE-63920,Electronics,CorePeak,Zone C,FastShip Pvt,contact357@fastshippvt.com,2024-06-17,2025-11-07,2026-07-07,423.0,248,0.8835741155777393,4279.0,6318.309769985531,38.0,419,True
HOM-37950,Home & Kitchen,UrbanWave,ZONE C,PrimeParts,contact186@primeparts.com,2024-04-24,,2026-08-31,212.0,24,0.8831026342435533,1307.0,1989.636504575395,33.0,24,True
SPO-74752,Sports & Outdoors,NovaLine,Zone B,PrimeParts,contact879@primeparts.com,2024-04-28,,2026-07-28,259.0,254,0.5899954775635817,1070.0,2706.5620928041553,112.0,17,True
HOM-63885,Home & Kitchen,AlphaEdge,Zone A,QuickStock,contact474@quickstock.com,2024-10-31,2026-02-17,2026-08-04,430.0,0,0.12611875047273047,3059.0,8652.16597487456,,39,True
STA-24044,Stationery,GenericPlus,Zone A,GlobalTrade Ltd,contact179@globaltradeltd.com,2024-08-02,2025-10-23,2026-09-13,121.0,289,,2911.0,4899.843649588286,84.0,33,False
HOM-69668,Home & Kitchen,GenericPlus,zone a,QuickStock,contact262@quickstock.com,2024-06-24,2026-02-02,2026-08-28,33.0,120,0.6466406483289094,3144.0,5779.099351946063,134.0,16,True
ELE-83740,Electronics,NovaLine,Zone A,FastShip Pvt,contact139@fastshippvt.com,2024-06-14,2025-08-15,2026-08-30,338.0,38,0.3811115447859268,197.0,130.40813833703876,,29,True
APP-56122,Apparel,ZenCraft,ZONE C,DirectImport,contact956@directimport.com,2024-09-24,2025-04-14,2026-05-31,44.0,282,0.6484388434510547,5216.0,17311.43315929115,107.0,17,True
ELE-33365,Electronics,GenericPlus,zone a,FastShip Pvt,contact704@fastshippvt.com,2024-09-27,2025-05-19,2026-09-06,111.0,152,0.4704634033894828,5081.0,13957.317090379787,45.0,33,True
HOM-21606,Home & Kitchen,TrueForm,Zone C,DirectImport,contact940@directimport.com,2024-07-21,2025-03-27,2026-09-14,272.0,232,,583.0,1488.9179754150591,106.0,13,True
BEA-99501,Beauty,UrbanWave,Zone C,PrimeParts,contact360@primeparts.com,2024-07-01,2025-12-13,2026-06-27,454.0,81,0.4468855750788068,3760.0,12847.18635078186,107.0,14,True
ELE-18780,Electronics,NovaLine,Zone D,SupplyCo India,contact471@supplycoindia.com,2024-04-21,2025-05-21,2026-09-16,214.0,38,0.4527767767905758,816.0,1326.5221345824723,,3,True
APP-14178,Apparel,TrueForm,zone a,QuickStock,contact691@quickstock.com,2024-08-05,2025-10-28,2026-06-03,177.0,80,0.5449067415721223,5989.0,13063.214057981235,111.0,33,True
HOM-13953,Home & Kitchen,AlphaEdge,Zone D,SupplyCo India,contact159@supplycoindia.com,2024-11-23,2025-07-19,2026-07-07,396.0,87,3.1833305035045965,7429.0,12321.398820600674,,20,True
BEA-62159,Beauty,ZenCraft,Zone C,SupplyCo India,contact843@supplycoindia.com,2024-06-05,,2026-07-03,15.0,277,,1404.0,3738.3273801611576,161.0,42,True
HOM-81857,Home & Kitchen,AlphaEdge,Zone B,DirectImport,,2024-06-11,2025-08-21,2026-07-28,243.0,170,0.16489539765716776,1664148.0,4574083.71557632,143.0,33,True
APP-48017,Apparel,CorePeak,Zone A,LocalSource,,2024-07-23,,2026-08-01,3.0,104,0.27473551907794636,6204.0,16671.822706124007,,16,True
SPO-29766,Sports & Outdoors,AlphaEdge,Zone D,SupplyCo India,contact733@supplycoindia.com,2024-09-13,2025-04-29,2026-06-10,490.0,112,0.2995471758585878,1396.0,4658.902955960577,25.0,15,True
APP-55824,Apparel,AlphaEdge,Zone A,GlobalTrade Ltd,contact649@globaltradeltd.com,2024-05-23,2026-03-03,2026-06-21,16.0,99,0.2016355751840131,4963.0,16080.44824735003,37.0,9,True
ELE-17765,Electronics,ZenCraft,ZONE A,QuickStock,contact195@quickstock.com,2024-08-28,2025-06-30,2026-07-04,257.0,62,0.5874251720974609,250.0,465.4780163105685,,21,False
TOY-30364,Toys,TrueForm,Zone C,FastShip Pvt,contact126@fastshippvt.com,2024-11-16,2025-08-11,2026-08-31,101.0,270,0.5105561805394889,7744.0,23129.848985660436,122.0,25,True
ELE-72925,Electronics,ZenCraft,Zone C,DirectImport,contact285@directimport.com,2024-07-13,2025-04-22,2026-06-01,243.0,268,0.44707202944114166,5967.0,7127.306710664672,117.0,8,True
APP-76019,Apparel,TrueForm,Zone A,PrimeParts,contact939@primeparts.com,2024-07-16,2025-12-31,2026-06-21,174.0,21,0.5581952972035217,3707382.0,4565673.833339216,42.0,14,True
AUT-72854,Automotive,UrbanWave,Zone A,LocalSource,contact836@localsource.com,2024-04-16,2025-06-11,2026-06-28,79.0,220,0.2985618640253864,4894.0,8351.893516218503,157.0,34,True
SPO-58270,Sports & Outdoors,NovaLine,Zone A,QuickStock,contact878@quickstock.com,2024-07-10,2025-06-12,2026-08-06,285.0,224,0.6778562511677089,0.0,0.0,21.0,39,False
APP-22824,Apparel,ZenCraft,Zone D,DirectImport,contact870@directimport.com,2024-11-29,2026-02-28,2026-06-09,149.0,255,0.1544878603270109,3819.0,9492.517386045914,134.0,10,True
APP-57264,Apparel,ZenCraft,zone a,DirectImport,contact481@directimport.com,2024-08-26,2025-04-20,2026-08-11,103.0,108,,3849.0,8355.337748339927,179.0,35,False
TOY-80699,Toys,NovaLine,Zone A,SupplyCo India,contact762@supplycoindia.com,2024-07-14,2025-05-17,2026-09-21,45.0,296,0.3913271945516704,7470.0,11435.580420672124,51.0,9,True
HOM-54634,Home & Kitchen,CorePeak,Zone B,FastShip Pvt,contact437@fastshippvt.com,2024-11-26,2025-07-11,2026-09-17,405.0,28,0.9418764910996799,768.0,1880.0150350836732,169.0,24,True
ELE-56897,Electronics,NovaLine,Zone B,GlobalTrade Ltd,contact111@globaltradeltd.com,2024-05-28,2025-10-11,2026-05-29,-24.0,171,0.27180119556248095,0.0,0.0,14.0,11,True
BEA-41851,Beauty,SwiftBrand,Zone B,GlobalTrade Ltd,,2024-09-20,2025-07-16,2026-08-27,253.0,251,0.6925606013928319,2319.0,3385.5944170236507,171.0,15,False
APP-12209,Apparel,TrueForm,Zone D,PrimeParts,contact257@primeparts.com,2024-11-23,,2026-06-05,50.0,101,0.2358970649926312,6284.0,10194.958876448456,105.0,3,True
SPO-51082,Sports & Outdoors,AlphaEdge,Zone C,GlobalTrade Ltd,contact145@globaltradeltd.com,2024-07-03,2026-02-26,2026-09-06,430.0,97,0.6293412868489883,6769.0,20333.789193645127,0.3170823428691069,37,True
ELE-83254,Electronics,AlphaEdge,Zone B,FastShip Pvt,contact609@fastshippvt.com,2024-09-06,2026-01-18,2026-08-30,397.0,57,0.1966217017388896,3771.0,12266.531102299225,31.0,TBD,False
TOY-58742,Toys,ZenCraft,zone a,QuickStock,,2024-10-04,2025-10-24,2026-06-15,189.0,291,,6453.0,19039.28010180832,42.0,39,True
ELE-62905,Electronics,UrbanWave,Zone D,SupplyCo India,contact350@supplycoindia.com,2024-05-02,2025-07-31,2026-09-21,357.0,65,,913.0,1243.1890624076289,123.0,27,True
STA-13995,Stationery,UrbanWave,Zone C,QuickStock,,2024-05-31,,2026-06-16,315.0,5,0.263488098246197,6860.0,22683.997262192697,35.0,24,True
APP-41394,Apparel,AlphaEdge,Zone B,LocalSource,contact205@localsource.com,2024-06-19,2025-07-18,2026-07-20,145.0,10,0.7943413013416575,943.0,2505.084229831737,0.1253181142456893,39,False
APP-66284,Apparel,ZenCraft,Zone A,FastShip Pvt,,2024-07-30,2025-11-23,2026-07-01,223.0,79,0.7066916272113007,2873.0,3861.2696490636067,24.0,on demand,True
SPO-79921,Sports & Outdoors,GenericPlus,ZONE B,PrimeParts,contact814@primeparts.com,2024-04-07,2026-03-06,2026-09-18,6.0,66,0.4751849713440802,2016.0,2652.500336162054,181.0,on demand,True
SPO-37394,Sports & Outdoors,AlphaEdge,zone a,DirectImport,contact443@directimport.com,2024-11-18,2025-12-01,2026-09-06,228.0,62,0.6942293989199356,0.0,0.0,199.0,42,True
APP-66788,Apparel,ZenCraft,Zone C,LocalSource,contact852@localsource.com,2024-11-26,2025-10-25,2026-09-09,301.0,288,0.6336594443318817,3869711.0,8442113.729379645,,207,False
ELE-61180,Electronics,SwiftBrand,zone a,SupplyCo India,contact899@supplycoindia.com,2024-10-21,2025-11-08,2026-09-16,334.0,181,0.4571829515975625,5139.0,8948.283482482804,107.0,24,True
HOM-38141,Home & Kitchen,TrueForm,Zone B,SupplyCo India,contact597@supplycoindia.com,2024-07-04,,2026-08-11,87.0,88,0.0524509324546657,2627.0,4606.936184770111,0.5032832022462177,41,True
AUT-28400,Automotive,UrbanWave,Zone C,PrimeParts,contact805@primeparts.com,2024-09-08,2025-08-30,2026-09-18,492.0,27,0.3751556566989859,5074.0,6017.8294903694705,106.0,814,True
APP-70221,Apparel,ZenCraft,Zone A,PrimeParts,contact331@primeparts.com,2024-10-12,2025-10-16,2026-09-03,431.0,23,,1178.0,3665.5685389024284,,33,True
APP-77118,Apparel,CorePeak,Zone A,SupplyCo India,contact992@supplycoindia.com,2024-08-30,,2026-06-19,107.0,59,0.26830821854918374,2067987.0,3187399.8035739404,,6,True
HOM-90600,Home & Kitchen,ZenCraft,Zone B,PrimeParts,contact681@primeparts.com,2024-07-14,2026-02-05,2026-07-31,216.0,200,0.030097148195075585,2561.0,8080.692747694575,117.0,43,True
TOY-95416,Toys,ZenCraft,zone a,DirectImport,contact110@directimport.com,2024-04-15,2025-05-25,2026-06-18,205.0,118,0.767093444477129,183.0,532.3713178343864,30.0,28,True
HOM-64614,Home & Kitchen,GenericPlus,Zone C,GlobalTrade Ltd,,2024-11-02,2025-09-04,2026-08-23,52.0,260,0.0724032419456796,2227.0,7083.236812128018,108.0,4,True
BEA-84120,Beauty,NovaLine,Zone A,DirectImport,contact840@directimport.com,2024-07-20,2025-04-15,2026-09-13,461.0,13,0.9431332008822488,4996.0,9132.895417932685,,14,True
HOM-58453,Home & Kitchen,AlphaEdge,zone d,LocalSource,contact584@localsource.com,2024-06-12,2026-01-13,2026-06-24,187.0,255,0.09354038991505853,6180.0,11360.524059057345,,27,True
TOY-37260,Toys,ZenCraft,zone c,LocalSource,contact306@localsource.com,2024-10-03,2025-10-17,2026-09-07,477.0,54,0.10299639184238207,6432.0,22031.495923316128,,25,True
SPO-24455,Sports & Outdoors,ZenCraft,zone b,FastShip Pvt,contact658@fastshippvt.com,2024-08-24,2025-07-12,2026-07-31,250.0,36,0.2890380052735052,2601.0,6653.761529535755,66.0,5,True
APP-18463,Apparel,SwiftBrand,Zone C,SupplyCo India,contact418@supplycoindia.com,2024-12-01,2025-04-03,2026-08-14,360.0,48,,7293.0,22979.21806261621,45.0,35,True
ELE-62875,Electronics,GenericPlus,Zone B,QuickStock,contact140@quickstock.com,2024-05-15,2025-04-29,2026-09-19,466.0,189,0.32146870863336263,1545.0,4902.167413393624,67.0,41,False
APP-72787,Apparel,TrueForm,Zone B,GlobalTrade Ltd,contact265@globaltradeltd.com,2024-05-29,2025-08-29,2026-06-09,138.0,131,0.8719341258370749,5741.0,19340.762180668182,15.0,7,True
BEA-77463,Beauty,NovaLine,Zone B,LocalSource,contact977@localsource.com,2024-09-08,2025-06-27,2026-06-14,242.0,66,0.9184074161411043,3055.0,5556.700262623336,138.0,348,True
APP-71316,Apparel,ZenCraft,Zone A,QuickStock,contact724@quickstock.com,2024-09-28,2025-06-10,2026-07-17,199.0,113,0.7170131382076028,2302.0,7607.0103364457555,0.808692948788986,13,True
APP-25639,Apparel,CorePeak,ZONE C,SupplyCo India,,2024-12-02,,2026-05-31,479.0,65,,1908.0,6349.765859888105,0.7388537976111801,25,True
BEA-48944,Beauty,ZenCraft,ZONE D,GlobalTrade Ltd,contact871@globaltradeltd.com,2024-04-17,2025-10-27,2026-08-22,268.0,127,0.4019387152785302,3408403.0,5282429.126604654,110.0,5,True
BEA-79455,Beauty,AlphaEdge,zone d,PrimeParts,contact128@primeparts.com,2024-05-02,2025-07-18,2026-08-05,357.0,217,0.2713074692256825,514.0,1088.103109511539,70.0,27,True
AUT-99199,Automotive,CorePeak,ZONE C,PrimeParts,contact725@primeparts.com,2024-08-27,2025-06-26,2026-07-28,320.0,264,0.3569245671623015,3019643.0,4604738.56758123,,12,True
BEA-87842,Beauty,NovaLine,Zone A,QuickStock,contact670@quickstock.com,2024-04-16,2025-11-28,2026-08-30,116.0,195,0.7071958379949437,7487.0,21697.84874712591,90.0,28,True
SPO-70469,Sports & Outdoors,TrueForm,ZONE D,SupplyCo India,contact558@supplycoindia.com,2024-09-30,2025-04-25,2026-07-24,48.0,200,0.758102648722481,225.0,132.50959907621498,179.0,32,True
ELE-26979,Electronics,SwiftBrand,Zone A,PrimeParts,,2024-07-11,2025-04-16,2026-06-03,303.0,31,0.9204641461156488,6070.0,17411.01388523924,134.0,42,True
APP-83507,Apparel,TrueForm,ZONE A,PrimeParts,contact757@primeparts.com,2024-11-26,2025-04-16,2026-06-29,450.0,179,0.14194634863108635,4203.0,9235.864158534021,91.0,17,True
STA-34937,Stationery,ZenCraft,Zone D,PrimeParts,contact559@primeparts.com,2024-07-15,2025-07-07,2026-08-09,368.0,27,0.8845971126437937,6133.0,20790.97283444813,61.0,27,True
ELE-53907,Electronics,ZenCraft,Zone B,GlobalTrade Ltd,,2024-08-24,2025-04-21,2026-08-18,465.0,96,,5423.0,7227.650789317929,103.0,19,True
SPO-19218,Sports & Outdoors,CorePeak,Zone A,FastShip Pvt,contact566@fastshippvt.com,2024-11-23,2025-05-03,2026-07-10,390.0,244,0.6053772068240126,4899.0,8971.267866889626,159.0,647,True
SPO-14420,Sports & Outdoors,UrbanWave,Zone C,PrimeParts,contact547@primeparts.com,2024-05-29,2025-11-16,2026-07-20,453.0,261,0.7157371271578071,6692.0,8535.934048637573,139.0,38,True
HOM-70968,Home & Kitchen,GenericPlus,Zone C,DirectImport,contact274@directimport.com,2024-07-23,2025-12-17,2026-05-28,374.0,27,0.926750095217251,5460.0,12751.040822139963,53.0,23,True
APP-84734,Apparel,SwiftBrand,Zone D,DirectImport,contact136@directimport.com,2024-11-05,2025-09-25,2026-07-22,384.0,166,0.3745390456914127,3101.0,10076.412431373032,116.0,19,True
ELE-47663,Electronics,NovaLine,Zone B,DirectImport,contact583@directimport.com,2024-09-17,2025-08-27,2026-07-08,437.0,37,0.15347713866453094,2918.0,6221.934199961404,138.0,36,True
HOM-44988,Home & Kitchen,NovaLine,Zone C,PrimeParts,contact152@primeparts.com,2024-10-27,2025-10-05,2026-06-25,278.0,138,0.4765492831419035,6171.0,10304.56160187278,169.0,23,False
BEA-62372,Beauty,SwiftBrand,Zone A,SupplyCo India,contact658@supplycoindia.com,2024-12-03,2025-06-11,2026-09-12,133.0,70,0.4632888499272517,2854.0,7742.387830492721,60.0,25,True
APP-11274,Apparel,ZenCraft,Zone A,PrimeParts,contact516@primeparts.com,2024-09-23,2025-04-04,2026-07-21,490.0,241,0.8845421153457922,7083.0,11906.970745110124,,19,True
HOM-70223,Home & Kitchen,AlphaEdge,zone c,DirectImport,contact745@directimport.com,2024-07-20,2026-01-01,2026-06-29,64.0,49,3.2835078085055214,4155.0,13883.964576670374,0.5020776665665093,25,False
HOM-96551,Home & Kitchen,ZenCraft,zone a,SupplyCo India,contact218@supplycoindia.com,2024-05-28,2025-06-05,2026-06-01,428.0,9,0.04144698228641763,2982.0,10316.204275291668,190.0,38,True
TOY-37577,Toys,GenericPlus,Zone B,FastShip Pvt,contact513@fastshippvt.com,2024-04-15,2025-06-23,2026-07-22,-11.0,250,0.7021176083234185,2197.0,4009.6539432387317,17.0,15,True
STA-24322,Stationery,GenericPlus,Zone B,LocalSource,contact606@localsource.com,2024-11-11,2026-02-06,2026-08-08,106.0,204,0.7586711510244412,633.0,1104.5962025795043,,16,True
HOM-22170,Home & Kitchen,AlphaEdge,Zone A,QuickStock,contact285@quickstock.com,2024-10-18,2025-12-09,2026-08-15,351.0,199,0.5377429047313841,3586.0,6339.625379131539,,43,True
APP-52154,Apparel,ZenCraft,Zone D,LocalSource,contact826@localsource.com,2024-05-16,2025-07-29,2026-05-27,119.0,44,0.506681817929471,1899.0,5197.29808958226,51.0,12,True
TOY-26237,Toys,SwiftBrand,zone a,PrimeParts,contact220@primeparts.com,2024-07-11,2026-01-05,2026-09-19,318.0,85,2.3873522061533645,3216.0,2489.1582743755016,82.0,5,True
BEA-13489,Beauty,TrueForm,Zone D,GlobalTrade Ltd,contact772@globaltradeltd.com,2024-07-31,2025-07-26,2026-07-26,193.0,79,0.6096550042117584,0.0,0.0,,8,False
SPO-50291,Sports & Outdoors,GenericPlus,zone b,PrimeParts,contact533@primeparts.com,2024-09-11,2025-10-13,2026-08-08,78.0,47,0.42506275395547655,0.0,0.0,,20,True
STA-77647,Stationery,CorePeak,Zone B,LocalSource,contact891@localsource.com,2024-05-29,2025-04-05,2026-05-30,290.0,219,0.6276878375460716,3738307.0,10907511.726444395,12.0,13,True
TOY-64503,Toys,GenericPlus,Zone A,QuickStock,contact917@quickstock.com,2024-04-06,2026-01-05,2026-06-23,198.0,109,0.9714658437587668,2294465.0,6525973.411867838,160.0,4-6 weeks,False
BEA-96654,Beauty,TrueForm,ZONE D,LocalSource,,2024-11-04,2026-03-12,2026-09-17,426.0,279,0.700317774405711,4369.0,5205.3940095507105,29.0,8,True
ELE-65792,Electronics,TrueForm,Zone A,PrimeParts,contact630@primeparts.com,2024-08-20,2025-11-09,2026-06-05,37.0,132,0.3152106693189184,4171.0,11681.426604457725,185.0,24,False
AUT-72608,Automotive,NovaLine,Zone A,QuickStock,contact968@quickstock.com,2024-04-19,2025-05-01,2026-07-07,181.0,113,0.5405795015477458,645.0,1402.1155702337574,104.0,20,True
ELE-75546,Electronics,GenericPlus,Zone D,LocalSource,contact115@localsource.com,2024-06-21,2025-07-24,2026-05-31,50.0,255,0.6813169235830041,5237.0,15786.456000702725,83.0,~1 month,True
ELE-48782,Electronics,GenericPlus,Zone C,SupplyCo India,contact317@supplycoindia.com,2024-08-21,2026-01-19,2026-07-18,294.0,207,0.5605056998363903,3252.0,1667.838603111712,44.0,33,True
TOY-77898,Toys,SwiftBrand,Zone A,QuickStock,contact172@quickstock.com,2024-05-11,2025-04-17,2026-06-10,2.0,155,0.7131114111033066,3526.0,7711.225699866011,25.0,11,True
ELE-95263,Electronics,TrueForm,Zone B,QuickStock,contact828@quickstock.com,2024-05-20,2025-11-29,2026-09-01,368.0,134,0.8217076178306628,7373.0,21578.008825478148,122.0,36,True
SPO-40577,Sports & Outdoors,AlphaEdge,ZONE C,QuickStock,,2024-07-24,2025-06-10,2026-06-07,20.0,299,0.1416723490332179,3655.0,6014.221131871196,141.0,27,True
